itemnumber,itemtext,nbackInstruction,condsFile,square,loc1,loc2,corrAns,trialsNum,trialNum,wakeup.thisRepN,wakeup.thisTrialN,wakeup.thisN,wakeup.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,nb_taskloop.thisRepN,nb_taskloop.thisTrialN,nb_taskloop.thisN,nb_taskloop.thisIndex,nb_trials.thisRepN,nb_trials.thisTrialN,nb_trials.thisN,nb_trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,h_eoec.started,h_eoec.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,img_whte.started,img_whte.stopped,img_black.started,img_black.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,h_arsq.started,h_arsq.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,instrText.started,instrText.stopped,h_nback.started,h_nback.stopped,instrImg.started,instrImg.stopped,trialResp.keys,trialResp.started,trialResp.stopped,trialSquare.started,trialSquare.stopped,trialFix.started,trialFix.stopped,gridLine1.started,gridLine1.stopped,gridLine2.started,gridLine2.stopped,gridLine3.started,gridLine3.stopped,gridLine4.started,gridLine4.stopped,gridLine5.started,gridLine5.stopped,gridLine6.started,gridLine6.stopped,gridLine7.started,gridLine7.stopped,gridLine8.started,gridLine8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,239,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,241,241,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,242,242,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,243,243,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,244,244,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,245,245,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,246,246,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,247,247,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,248,248,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,None,None,None,None,None,None,,,,,0,0,0,16,0,0,0,0,0,249,249,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
17,I felt relaxed,1,nBack1Cond.xlsx,,,,,,,,,,,0,0,0,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1102,test6,2021.2.3,60.064273577875646,
